grade,topic,title,checked_by,kind,ccss,does,notes,worksheet_link,answer_key_link
K,Math - Counting,Kindergarten Math - Counting - 27 Completing Patterns and Number Lines 1 to 20,read text,practice,"K.CC.A.1, K.CC.A.2","Two-part sheet: (A) complete a forward-counting-by-ones number pattern (3 problems), and (B) fill in missing numbers on a number line, numbers up to 20 (3 problems), 3 sheets.",,https://drive.google.com/file/d/1ZoJLPan95KX3HG9i2r0hPhzgdxZ-sdOE/view,https://drive.google.com/file/d/1wlSDal5DeIeDqf-YtlMuO3NrVlcS-oUM/view
K,Math - Counting,Kindergarten Math - Counting - 28 Counting on a Ten Frame,looked at pages,practice,"K.CC.B.4, K.CC.B.5","A single ten-frame (2x5 grid) with some counters filled in; students write how many counters are shown, 1-10. 8 problems per sheet.",Visually confirmed via rendered page 1 of 3.,https://drive.google.com/file/d/1CAoFNcf909mIC_f3pMH5GsHjYr5BNFgh/view,https://drive.google.com/file/d/1WavMN3jErJr14r8k0nJ9dKY4w_x3Me7O/view
K,Math - Counting,Kindergarten Math - Counting - 29 Filling Missing Numbers,UNVERIFIED,practice,,"Title 'Filling Missing Numbers' suggests students fill in missing numbers in a counting sequence. Could not confirm visually: download returned inline as base64 (too small to save to a file, so render.py could not be run), and both the worksheet and its answer key extract as empty text via read_file_content (image-based pages with no OCR-readable text layer despite standard embedded fonts).","text_ok:false - worksheet and answer key both return empty extracted text, and the inline (non-file) download prevented page-image rendering. Content inferred only from title.",https://drive.google.com/file/d/1r3qdQQjwmWPDF5Iji24bzfx1_2tUfk6n/view,https://drive.google.com/file/d/1rNyqV4cjz8naud6lMA28eAPFpNchxQSy/view
K,Math - Counting,Kindergarten Math - Counting - 30 Counting Backward by 1s from 10 Maze,read text,puzzle/game,K.CC.A.2,"Students count backward by ones from 10, filling in missing numbers along a maze path to help a character (squirrel, Santa, cow) reach a destination, 3 sheets.",,https://drive.google.com/file/d/1vFrc72CNHrq1Ox6tnaoK-F5ynIQL8XcR/view,https://drive.google.com/file/d/1JMdjx_9o0JMLRKxYbs1wzoiEWjgeehxa/view
K,Math - Counting,Kindergarten Math - Counting - 31 Labor Day Theme Counting Pictures upto 10,looked at pages,practice,K.CC.B.5,"Titled 'Counting': 9 rows of pictured work tools/occupational items (paintbrushes, laptops, saws, scissors, drills, microphones, garden shears, a broom, guitars, pens), each row containing up to 9 items; student counts the pictures in each row and writes the total in a box.","Only 1 page in this PDF (todo listed sheets as null/unknown). Confirmed visually; tool imagery plausibly represents Labor Day occupations as titled, though sheet itself has no holiday label or graphic.",https://drive.google.com/file/d/1LGoDUllFnQAIElHGv3BHzdZ-k1jKkqj3/view,https://drive.google.com/file/d/17GYuTI7lJy8A6yZigvZBfh2G_J9Rbbyv/view
K,Math - Counting,Kindergarten Math - Counting - 32 Estimate and Count MCQ,read text,assessment/review,K.CC.B.5,"Students look at a picture of a large group of objects (fish, flowers, fruits) and choose the best estimate of the total count from two multiple-choice options (about 10-80), 4 problems per sheet.",Estimating larger quantities (tens) is a more advanced skill than typical kindergarten counting range.,https://drive.google.com/file/d/1EhI83pOqwCpKrHScBgZeSIPd0Qht4uUv/view,https://drive.google.com/file/d/1ipa5Xr998nDBnNPdatEnh7D5glL259zz/view
K,Math - Counting,Kindergarten Math - Counting - 33 Counting and Comparing,looked at pages,practice,"K.CC.B.5, K.CC.C.6","'Count and Compare' page split into two picture groups (e.g. party hats vs badminton rackets, hens vs parrots, fish vs starfish); students write how many of each item, then check the box under the group that has more (or fewer, as instructed). 3 problems per sheet.",Visually confirmed via rendered page 1 of 3.,https://drive.google.com/file/d/1qtRt_STuS0WxRERdLmEvACcpnpm_bWYc/view,https://drive.google.com/file/d/1EL0mllOAGG6Dz52c7rwylGnLmzgTAJOu/view
K,Math - Counting,Kindergarten Math - Counting - 34 Counting and Comparing,looked at pages,practice,"K.CC.B.5, K.CC.C.6","'Count and Compare' page split into two picture groups (e.g. elephants vs mice, shirts vs dresses, lunchboxes vs erasers, apples vs oranges); students write how many of each item, then check the box under the group that has more (or fewer, as instructed). 4 problems per sheet.",Visually confirmed via rendered page 1 of 3.,https://drive.google.com/file/d/1RSo3hyITMPK3VOJlX-4fvUhrV-zQ8AFP/view,https://drive.google.com/file/d/1J_l7GjuCSC7VgA7yCCaMO0vEFFFYfy1O/view
K,Math - Counting,Kindergarten Math - Counting - 35 Counting - Theme-Based Word Problems,looked at pages,practice/word problems,"K.CC.B.5, K.CC.C.6","Each themed sheet shows an illustrated scene (Sheet 1 'Counting - Bakery' with shelves of cupcakes/donuts/bread; Sheet 2 'Counting - Pet Shop' with caged parrots, a fish tank, and turtles) followed by questions asking how many of each item there are, plus a 'Which has the most/fewest?' comparison question with 3 answer choices.",Confirmed visually; matches title.,https://drive.google.com/file/d/1zWjWTvFJwxfvSbUCTdq78_GjmZGJMHSO/view,
K,Math - Counting,Kindergarten Math - Counting - 36 Connecting the Dots - Hot-Air Balloon,UNVERIFIED,puzzle,,"Single dot-to-dot puzzle: student connects numbered dots in order (numbering runs at least 0/1 through 20, seen at the basket) to reveal a picture of a hot-air balloon with a basket. Page has Name and Date lines.","Downloaded inline (no saved-file path); a custom Type3 font is used for on-page text/numbers and rendered with visible corruption in labels (Name/Date and footer text garbled), but the dot-to-dot drawing and dot numbers are legible. [Marked unverified at merge: the image used was partly corrupted or not rendered.]",https://drive.google.com/file/d/1sAv7eweOrXYVHpdBdvD2exQn6TphYGLy/view,
K,Math - Counting,Kindergarten Math - Counting - 37 Connecting the Dots - Letters of the Alphabets,UNVERIFIED,puzzle,,Single dot-to-dot puzzle using letters instead of numbers: student connects dots labeled A through Z in alphabetical order to reveal a picture of an ice-cream cone with a scoop. Page has Name and Date lines.,"Downloaded inline (no saved-file path); rendered without the zlib font error seen on a sibling file. Dots run A-Z (26 letters), not numbers. [Marked unverified at merge: the image used was partly corrupted or not rendered.]",https://drive.google.com/file/d/12Sk9VbbhEKRMDOGqAGK5QqjHs9B5DEFJ/view,
K,Math - Counting,Kindergarten Math - Counting - 38 Connecting the Dots from 1 through 40 - Rabbit,UNVERIFIED,puzzle,,"Single dot-to-dot puzzle: student connects numbered dots in order (dots go 1 through 41, not 40 as the filename suggests) to reveal a picture of a rabbit. Page has Name and Date lines.","Downloaded inline (no saved-file path); PDF had a corrupted font stream (zlib error) but page content rendered fine visually. Dots actually numbered to 41, not 40. [Marked unverified at merge: the image used was partly corrupted or not rendered.]",https://drive.google.com/file/d/1EyKdfIBg0Oi-hkokowj3waM7uHDds-GU/view,
K,Math - Counting,"Kindergarten Math - Counting - 39 Recognizing, Reading and Writing Numbers - 1-10",UNVERIFIED,practice,,"Single sheet titled Numbers 1-10: a 2x5 grid shows the printed numerals 1 through 10 as a model, followed by a matching blank 2x5 grid where the student copies/writes each numeral underneath.",Downloaded inline (no saved-file path); rendered cleanly with no font corruption. [Marked unverified at merge: the image used was partly corrupted or not rendered.],https://drive.google.com/file/d/1YcUjdBWG3pkQ_BtqzTubAj9xuo8ogrzq/view,
K,Math - Counting,Kindergarten Math - Counting - 40 Counting Pictures - Up to 5,looked at pages,practice,K.CC.B.5,"Titled 'Count and Write': 5 rows each show a group of sports-item pictures (footballs, a badminton racket, soccer balls, party hats, bowling pins), counts up to 5; student counts the pictures in each row and writes the number in a blank box.",Confirmed visually; matches title.,https://drive.google.com/file/d/1vHc6ns2BUAk6WjDo3ZSyCYq5tDCvY8yS/view,
K,Math - Counting,Kindergarten Math - Counting - 41 Reading and Coloring - Up to 5,looked at pages,practice/colouring,K.CC.B.5,"Titled 'Count and Color': 5 rows each show a numeral in a box (1-5) next to a row of outline pictures (umbrellas, bananas, t-shirts, flowers, Santa hats); student reads the number and colors that many outline pictures.",Confirmed visually; matches title.,https://drive.google.com/file/d/1Bmf_5FOITUt1gryBzFWbsOJd2Yl-rtAV/view,
K,Math - Counting,Kindergarten Math - Counting - 42 Matching Equal Groups - Up to 10,looked at pages,practice,"K.CC.B.5, K.CC.C.6","Titled 'Count and Match': two columns of 5 boxes each contain a group of pictures (soccer balls, pigs, seahorses, birds, ladybugs on left; turtles, pears, chickens, fish, butterflies on right), counts up to 10; student counts each group and draws a line to match groups with equal totals.",Confirmed visually; matches title.,https://drive.google.com/file/d/1BUuz0qHKb96EuAmiprBKyWvj2i_ZWZ0B/view,
K,Math - Data & Graphs,Kindergarten Math - Data & Graphs - 01 Completing Picture Graph,read answer key,cut-and-paste activity,,"3 sheets: cut out pictures (bakery items, vegetables, garden flowers) and glue them onto a picture graph by category, then answer questions comparing quantities (which has the most/fewest/more than X, how many in all).",Read via answer key (mathworksheets4kids.com); download returned inline base64 rather than a saved file.,https://drive.google.com/file/d/1vtwS43VIpZq6wZfIF139gVgz2c6Uvq-Z/view,https://drive.google.com/file/d/1OPMw0NRMGCbgSPuUoWZ1Nh-YL03Gcf6M/view
K,Math - Data & Graphs,Kindergarten Math - Data & Graphs - 02 Cut-and-Glue Activities Themes,read answer key,cut-and-paste activity,,"4 sheets: cut out pictures and glue them onto a two-circle Venn diagram sorting by category (roses vs gardenias, kids with hats vs glasses, herbivores vs carnivores, pink shapes vs quadrilaterals).",Read via answer key; download returned inline base64.,https://drive.google.com/file/d/1b__VwD_PdOLUo__TSDs1mz4eEQ48x1Lg/view,https://drive.google.com/file/d/1TRSwtBXlo6wfwa-MMLjMEJYkaERmzfMy/view
K,Math - Geometry - 2D Shapes,Kindergarten Math - Geometry - 2D Shapes - 25 Coloring Rectangles,read answer key,practice,,"3 sheets, each with a picture containing several overlapping rectangles; student colors only the rectangles and counts how many there are (answer key: 8, 9, 7 for sheets 1-3).",Read via answer key; download returned inline base64.,https://drive.google.com/file/d/1zn2nfgu_KsQ1tLrbfXlbx0fDy9GewO2j/view,https://drive.google.com/file/d/1lJsBjRZusTL9oaBlbmb-fSM5fQz_FZP3/view
K,Math - Geometry - 2D Shapes,Kindergarten Math - Geometry - 2D Shapes - 26 Identify the Rectangles from the Picture,read answer key,practice,,"3 sheets, each a picture made of overlapping/embedded rectangles; student counts how many rectangles are in the picture and writes the total (answer key shows counts of 4, 14, 12 for sheets 1-3).",Read via answer key; download returned inline base64.,https://drive.google.com/file/d/1loM12Yj46reDakxbJECrYMSKfJ9AL7-b/view,https://drive.google.com/file/d/17KbRpGjsMmg8wAxqwjsIadYKw9orJJGd/view
K,Math - Geometry - 2D Shapes,Kindergarten Math - Geometry - 2D Shapes - 27 Identify and Color the Rectangular Objects,read answer key,practice,,"3 sheets, each showing a set of everyday objects/pictures; student colors only the objects that are rectangular in shape.",Read via answer key; download returned inline base64.,https://drive.google.com/file/d/1VnIFEZUkE9dDeyBuH65mOCSlfdVLX0nR/view,https://drive.google.com/file/d/1cLw3mMYbJ6rPbvn2MTm2Rt26TThsa--K/view
K,Math - Geometry - 2D Shapes,Kindergarten Math - Geometry - 2D Shapes - 30 Above and Below Set,looked at pages,practice,,"Students circle one of two identical objects in a scene depending on whether it is positioned above or below a landmark, e.g. 'Circle the astronaut who is below.' 6 problems on a single sheet.","Visually confirmed: 1 page, 6 items, each scene has two instances of the same object (one above, one below a landmark) and student circles the one matching the instruction.",https://drive.google.com/file/d/1GZZajiOP-KQi804mbw_mpCeGKZ6EarBQ/view,https://drive.google.com/file/d/1angKYi_N2Pzur_4pt-A-io00neNNiRcx/view
K,Math - Geometry - 2D Shapes,Kindergarten Math - Geometry - 2D Shapes - 31 Above and Below Set,looked at pages,practice,,"Students pick which of two pictures (a or b) correctly shows an object above or below a named reference object, then color that picture, e.g. 'Color the cloud that is above the eagle.' 6 problems on a single sheet.","Visually confirmed: 1 page, 6 items each with two side-by-side picture options (a/b), student colors the correct one.",https://drive.google.com/file/d/1yVHPuZusavwkgpjNMG65Y4Q4Cie-1KGM/view,https://drive.google.com/file/d/1IzAGJF0NlG90y98yqD4QuAszZ_Q_yFiU/view
K,Math - Geometry - 2D Shapes,Kindergarten Math - Geometry - 2D Shapes - 34 Above and Below Set,looked at pages,practice,,"Students count objects positioned above or below a reference object in a picture scene (e.g. 'How many frogs are below the toadstool?') and write the number in a box, 4 counting questions per sheet.","Visually confirmed: page 1 of 1 shows 4 count-and-write questions using above/below scenes (frogs & toadstool, fish & water, leaves & bench, birds & bridge).",https://drive.google.com/file/d/1ooN8mL0rpJUyXrX7iGZ5pJ-M7lIf9Bsz/view,https://drive.google.com/file/d/159zxrsGmf-pK5xqdYXFLQ4EuTrIpZQ1O/view
K,Math - Geometry - 2D Shapes,"Kindergarten Math - Geometry - 2D Shapes - 46 Color, Trace, Connect and Draw a Rectangle",read answer key,practice,,"3 sheets, each with 4 parts: color a rectangle, trace a rectangle, draw a rectangle by joining dots, and draw a rectangle freehand.",Read via answer key; download returned inline base64.,https://drive.google.com/file/d/188V-HAjNm_la5eP6enG42eXQdgDbMIBu/view,https://drive.google.com/file/d/1ImoPv-MBCCFvnH6yhM9pD3RP98V4cFyP/view
K,Math - Geometry - 2D Shapes,Kindergarten Math - Geometry - 2D Shapes - 47 Trace the Shape and its Name,read answer key,practice,,3 sheets: student traces dotted-outline rectangles and traces the word 'rectangle' as its name.,Read via answer key; download returned inline base64.,https://drive.google.com/file/d/1UVArrxdfNsJxaxsQ8Edy6vDNTLBbio56/view,https://drive.google.com/file/d/1CDU34tUvZqbooHcoAhVvvH_J9PqRYX8e/view
K,Math - Geometry - 2D Shapes,Kindergarten Math - Geometry - 2D Shapes - 48 Shape Heart 4-in-1 Activity,looked at pages,activity/colouring,K.G.A.2,"Valentine's Day themed 4-in-1 heart activity: (1) color a heart outline, (2) trace a dotted heart outline, (3) join the dots to complete a heart shape, (4) draw a heart freehand in a blank box.","Confirmed visually: single page, Valentine's Day 4-in-1 heart activity (color/trace/dot-to-dot/draw).",https://drive.google.com/file/d/1GstHj4QfiyW3_Bg32kwFyzJK4cT4Gy63/view,https://drive.google.com/file/d/1JFCW51tmhK4fATcM_reNmWXRyS5fpnrM/view
K,Math - Geometry - 2D Shapes,Kindergarten Math - Geometry - 2D Shapes - 49 Solve the Maze,read answer key,puzzle,,"3 maze sheets: student colors a path of rectangles to help a character reach a goal (butterfly to flower, boy to school bus, crab to snail).",Read via answer key; download returned inline base64.,https://drive.google.com/file/d/1NHQF7-8wUAJ7byAJhnmMRxknv021IBJg/view,https://drive.google.com/file/d/1ocYVeHckSY5T8nrkeiaCzDS5WCUZmLWW/view
K,Math - Geometry - 2D Shapes,Kindergarten Math - Geometry - 2D Shapes - 50 Building a Robot with Squares - Cut and Glue,read answer key,activity/cut-and-glue,"K.G.A.2, K.G.B.6","Cut-and-glue activity: students cut out squares of different sizes from a supplied sheet, glue them into appropriate boxes to build a robot shape, then draw eyes, nose, and a mouth on it. Two-page worksheet (squares to cut on one page, assembly outline on the other).","Answer-key text extraction was clean; title repeats 'Building a Robot' on both pages, confirming 2 total sheets (cut squares + build outline).",https://drive.google.com/file/d/1ETd46ZBDV7e7rv-XWNjeMCJcobJK67Sk/view,https://drive.google.com/file/d/1dOLcnAq3Ybf58L123BflAz7pQhpaBgFW/view
K,Math - Geometry - 2D Shapes,Kindergarten Math - Geometry - 2D Shapes - 51 Coloring by Shapes,read answer key,activity/colouring,K.G.A.2,"Students identify each shape in a picture made of various 2D shapes, match each shape type to a color in a color key (blue, green, orange, pink, brown, red), and color the picture accordingly.",Small PDF returned inline rather than saved to file; described from clean answer-key text extraction (color-by-shape-key activity with 6 colors).,https://drive.google.com/file/d/1jvJsX7FLDq0XMNh-nIqITMOeP6LIJ96j/view,https://drive.google.com/file/d/14JSDEvH3D9EF36Ozgo7Gt-wjsjfJY9cG/view
K,Math - Geometry - 2D Shapes,Kindergarten Math - Geometry - 2D Shapes - 52 Identifying Shape Names and Coloring 2D Shapes,read answer key,activity/colouring,K.G.A.2,"Students look at a set of shape options for each of 6 numbered items and color the shape matching the named shape (square, triangle, circle, rectangle, hexagon, trapezoid).","Small PDF returned inline rather than saved to file; described from clean answer-key text extraction (6 items: square, triangle, circle, rectangle, hexagon, trapezoid).",https://drive.google.com/file/d/1H9oA1kLDoEl5cb_YlxLmJ3DeZqmG0nV4/view,https://drive.google.com/file/d/11UrvLlk4BcuigU4d5HCnKo7bg75vmaWI/view
K,Math - Geometry - 2D Shapes (circles),"Kindergarten Math - Geometry - 2D Shapes - 01 Coloring, Tracing, and Drawing Circles Set",read answer key,practice,,"Single sheet, 4 parts: color a circle, trace a circle, draw a circle by joining dots, and draw a circle freehand.",Read via answer key; download returned inline base64.,https://drive.google.com/file/d/1teiw-K8-dB6-fzjvYeDgT6raxQhFt2jU/view,https://drive.google.com/file/d/12MRPEdvFxGxwrGQRZ-iP-tG4WAtDDohY/view
K,Math - Geometry - 2D Shapes (circles),"Kindergarten Math - Geometry - 2D Shapes - 02 Coloring, Tracing, and Drawing Circles Set",UNVERIFIED,practice (inferred),,"Could not view the page content directly: answer key text-extracted empty, and two attempts to download and base64-decode the worksheet/answer-key PDFs both failed (corrupted/invalid base64). Inferred only from its position in this mathworksheets4kids Circles set (01-08): item 1 is color/trace/draw-by-dots, item 3 is trace-circles-and-write-name, etc. The equivalent position-2 item in the parallel Squares set (item 10) is internally named 'trace-color.pdf' and in the Triangles set (item 18) is 'trace and color the triangular rays of a sun' -- so item 02 here is likely a similar trace-and-color activity using a circle-based picture, but this could not be confirmed visually.","text_ok:false - answer key text-extracted empty; two PDF download/decode attempts (of the answer key) both failed with base64 errors. Description above is inferred from the surrounding series pattern only, not verified visually.",https://drive.google.com/file/d/1EpV31gRX33n-_iiT8IVliXiG4SlzrqfO/view,https://drive.google.com/file/d/1VHByf9Xo8oV6ftnoRzJGbIRhVkijp3rS/view
K,Math - Geometry - 2D Shapes (circles),"Kindergarten Math - Geometry - 2D Shapes - 03 Coloring, Tracing, and Drawing Circles Set",read answer key,practice,,Single sheet: student traces circles of different sizes and writes the shape name 'circle'.,Read via answer key; download returned inline base64.,https://drive.google.com/file/d/1GFyG7gxuFIR03ns3FeYWMQ3CNzqGVThl/view,https://drive.google.com/file/d/13E-J3RNQZieXp9gXmOZTN5wZhQrmdcEj/view
K,Math - Geometry - 2D Shapes (circles),"Kindergarten Math - Geometry - 2D Shapes - 04 Coloring, Tracing, and Drawing Circles Set",read answer key,practice,,"Single sheet, 2 parts: (A) find and color the circles hidden in a picture, (B) draw circles of four different sizes.",Read via answer key; download returned inline base64.,https://drive.google.com/file/d/1Ghe5RxoeIMwfZTje8Fh7npLm_QZ0q48y/view,https://drive.google.com/file/d/1zhtfnlKYLmIN8OhBKzTXprJPwZKZBI7h/view
K,Math - Geometry - 2D Shapes (circles),"Kindergarten Math - Geometry - 2D Shapes - 05 Coloring, Tracing, and Drawing Circles Set",read answer key,practice,,"Single sheet, 2 parts: (A) find and color circles among real-life objects, (B) color the circles on a ladybug picture and count them (answer: 9).",Read via answer key; download returned inline base64.,https://drive.google.com/file/d/16Tuk60ShLVCUMqcGTbsB3OVDV7IxEa4r/view,https://drive.google.com/file/d/1Hacd1g3Psmiz9gkvOEgbHDsb3y6zaPBU/view
K,Math - Geometry - 2D Shapes (circles),"Kindergarten Math - Geometry - 2D Shapes - 06 Coloring, Tracing, and Drawing Circles Set",read answer key,practice,,"Single sheet: student colors circular real-life objects, including a clock face pictured among them.",Read via answer key; download returned inline base64.,https://drive.google.com/file/d/1fOUIKLZ5XofST9lYvCXbnxX0CKR_eAFz/view,https://drive.google.com/file/d/1BWo4XMR0ULAguO1nCwBjBNJdmk1hgCj4/view
K,Math - Geometry - 2D Shapes (circles),"Kindergarten Math - Geometry - 2D Shapes - 07 Coloring, Tracing, and Drawing Circles Set",read answer key,cut-and-paste activity,,"Single sheet, cut-and-glue: student cuts out circles of different sizes and glues them together to build a snowman, adding eyes/nose/mouth.",Read via answer key; download returned inline base64.,https://drive.google.com/file/d/1u9UZIW92O_RnUOMzhJHywMzHsY2RiDPV/view,https://drive.google.com/file/d/1EOZahs4PWPb2qesRKenr0HnJHtdBfzIY/view
K,Math - Geometry - 2D Shapes (circles),"Kindergarten Math - Geometry - 2D Shapes - 08 Coloring, Tracing, and Drawing Circles Set",read answer key,puzzle,,"Single sheet, maze theme: a dog (Jake) has lost his way; student colors the circles to trace a path to the doghouse.",Read via answer key; download returned inline base64.,https://drive.google.com/file/d/1YCZ1Ru_vbnQUSixnTkZ7RlL-TmptFJTU/view,https://drive.google.com/file/d/1nrZu3OY-RSYRR6hN83qZikjF2THw0vAt/view
K,Math - Geometry - 2D Shapes (positional language),Kindergarten Math - Geometry - 2D Shapes - 28 Above and Below Set,read answer key,practice,,"Single sheet, 2 parts: (A) trace the words 'above' and 'below', (B) color the helicopter above the cloud blue and the helicopter below the cloud red.",Read via answer key; download returned inline base64.,https://drive.google.com/file/d/1LJQ-FSTpRuM2NXSL3S6f7Vbhz96xFXwI/view,https://drive.google.com/file/d/1-pMPI-s7FMCHrF16_m3-NKDsrsphHeKk/view
K,Math - Geometry - 2D Shapes (positional language),Kindergarten Math - Geometry - 2D Shapes - 29 Above and Below Set,read answer key,practice,,Single sheet: 6 pictures each showing a bird in a scene; student checks 'above' or 'below' to describe the bird's position.,Read via answer key; download returned inline base64.,https://drive.google.com/file/d/1jfPmtnn8HI41D0hMqz05NkdGo12J1TB5/view,https://drive.google.com/file/d/1vijJygqqjdew_--Em5ItINvhjnRRmZJ0/view
K,Math - Geometry - 2D Shapes (positional language),Kindergarten Math - Geometry - 2D Shapes - 32 Above and Below Set,UNVERIFIED,cut-and-paste activity,,"Single sheet titled Above and Below: cut-and-glue sorting activity. Page 1 is a two-column sort sheet labeled Above the Sea and Below the Sea; page 2 has 8 cut-out sea/sky pictures (octopus, sun, cloud, submarine, whale, diving flag, parrot, seahorse) for the student to cut out and glue into the correct column.","Answer key PDF text-extracted as empty; downloaded and rendered the worksheet itself instead (saved to a file automatically, no zlib/font issues). [Marked unverified at merge: the image used was partly corrupted or not rendered.]",https://drive.google.com/file/d/1r5LVSh594xkzC1pGeK6wYWVX7MnQBUUd/view,https://drive.google.com/file/d/1M4y76FS9Ov9lAAaaAfpFg5CtdTC__3Oc/view
K,Math - Geometry - 2D Shapes (positional language),Kindergarten Math - Geometry - 2D Shapes - 33 Above and Below Set,read answer key,practice,,"Single sheet: pictures of grocery items shaped like 3D solids; student checks the object above or below a named 3D-shaped object (sphere, pyramid, rectangular prism, cylinder, cone, cube), 6 questions.",Read via answer key; download returned inline base64.,https://drive.google.com/file/d/1hJYFwtcqMj6tEhFgKlQb1UQks0TW60pY/view,https://drive.google.com/file/d/1Ni7jWzfJB0G9b8K7Hb7sQwqu-5cdCXxA/view
K,Math - Geometry - 2D Shapes (positional language),Kindergarten Math - Geometry - 2D Shapes - 35 Above and Below Set,read answer key,practice,,"Single sheet: student draws a specified item 'above' or 'below' a pictured object (sun above house, fish below boat, cloud below airplane, butterfly above flowerpot), 4 items.",Read via answer key; download returned inline base64.,https://drive.google.com/file/d/1oLKJpe_KOPM6m2SVyHMsQsSrQlqZWLpo/view,https://drive.google.com/file/d/16gMqNk8tYCHL1uJ6wSxTeSWfhweyevRP/view
K,Math - Geometry - 2D Shapes (positional language),Kindergarten Math - Geometry - 2D Shapes - 36 Above and Below Set,read answer key,practice,,"Single sheet: 5 pictures each showing two objects; student circles 'above' or 'below' to correctly describe the position (frame/sofa, ball/table, snowflakes/snowman, window/clock, balloon/boy), plus a clock image.",Read via answer key; download returned inline base64.,https://drive.google.com/file/d/1qxhzmskGB0f_F6O75MT0ymwXfgWxY6cs/view,https://drive.google.com/file/d/1-y3Dsph_vSndy5vpYmE9fzGF-bkIdZyB/view
K,Math - Geometry - 2D Shapes (positional language),Kindergarten Math - Geometry - 2D Shapes - 37 Above and Below Set,read answer key,practice,,"Single sheet: a farm scene (house, hot-air balloon, cow, cat, butterfly, flower, clouds); student answers 5 positional questions (how many birds fly above the house, which animal is on the ground, where is the butterfly, which animal is on the house, how many clouds below the balloon). Answers: Four, Cow, On the flower, Cat, Four.",Read via answer key; download returned inline base64.,https://drive.google.com/file/d/1UBY-mLlU2ZVjn-flIxyUbJXTzNvYmRcp/view,https://drive.google.com/file/d/1cltKxfjt7hgXW1mmh5VV0pUTqH3SDp4m/view
K,Math - Geometry - 2D Shapes (positional language),Kindergarten Math - Geometry - 2D Shapes - 38 Beside and Next to Set,read answer key,practice,,"Single sheet, 3 parts: (A) trace the words 'beside' and 'next to', (B) color the leaf beside the flower, (C) color the apple next to the banana.",Read via answer key; download returned inline base64.,https://drive.google.com/file/d/17-astWk_SvKfemKR375d3waVpYfltE0l/view,https://drive.google.com/file/d/1cbN932a5yeCSfhoq4g6DXYBfFzaDSlNA/view
K,Math - Geometry - 2D Shapes (positional language),Kindergarten Math - Geometry - 2D Shapes - 39 Beside and Next to Set,read answer key,practice,,"Single sheet: a gift box scene with several toys; student circles the toy that is 'beside' the gift box, 6 items.",Read via answer key; download returned inline base64.,https://drive.google.com/file/d/1tIOJeXM1vlHAkYU7LhD_Ojr9bJFXv2DY/view,https://drive.google.com/file/d/1aIK3krMfsuS5FORYARIKXInu25IKd8ig/view
K,Math - Geometry - 2D Shapes (positional language),Kindergarten Math - Geometry - 2D Shapes - 40 Beside and Next to Set,read answer key,practice,,"Single sheet: pictures of fruits, animals, vegetables, instruments, and birds; student checks the item 'beside' a named reference item (lemon, deer, carrot, flute, turkey), 5 questions.",Read via answer key; download returned inline base64.,https://drive.google.com/file/d/1AEuBn-wD0eMORKpnVE6pVUeM5N1rzcA0/view,https://drive.google.com/file/d/1ab2dSlK2mtxaPCCBLu_AVfotssljbBib/view
K,Math - Geometry - 2D Shapes (positional language),Kindergarten Math - Geometry - 2D Shapes - 41 Beside and Next to Set,read answer key,practice,,"2 sheets, each showing a shelf/clock scene with objects (handbag, toy, lamp, vase, hammer, basket, honey, clock); student circles the object that is 'next to' a named item, 8 questions per sheet.",Read via answer key; download returned inline base64.,https://drive.google.com/file/d/19djhLzGWgHPcLJGgxdwWMOH65FTkL2qx/view,https://drive.google.com/file/d/1ADDHdOHVUx8BwPD7t_H9wjxYunXN3K65/view
K,Math - Geometry - 2D Shapes (positional language),Kindergarten Math - Geometry - 2D Shapes - 42 Beside and Next to Set,read answer key,practice,,"Single sheet: student draws a specified shape 'beside' a pictured object (triangle beside berry, square beside bunny, star beside umbrella, circle beside owl), 4 items.",Read via answer key; download returned inline base64.,https://drive.google.com/file/d/1aBg7wFJBm61v8mh6_C8PZLWJR3_Imj8b/view,https://drive.google.com/file/d/1ruSDYGVHcPEimNpEmVMOei9p-q57O99R/view
K,Math - Geometry - 2D Shapes (positional language),Kindergarten Math - Geometry - 2D Shapes - 43 Beside and Next to Set,read answer key,practice,,"Single sheet: pictures of grocery/household items shaped like 3D solids (cube, sphere, prism, cone, cylinder, pyramid); student checks the image 'beside' the object of each named 3D shape, 6 questions.",Read via answer key; download returned inline base64.,https://drive.google.com/file/d/1PIPuZwIjDbe8c21jS8xNyS0-pITA-B_M/view,https://drive.google.com/file/d/1jE87J4dhu2qd1eSQRFUbWY1AyISk5pgd/view
K,Math - Geometry - 2D Shapes (positional language),Kindergarten Math - Geometry - 2D Shapes - 44 Beside and Next to Set,read answer key,practice,,Single sheet: 5 sets of shapes/images; student colors the shape that is positioned 'next to' the reference image in each set.,Read via answer key; download returned inline base64.,https://drive.google.com/file/d/1veMpyseE7MRDKwhdTVAqsBwQUVdsaNwR/view,https://drive.google.com/file/d/1yFDdUd3gCrb9JDfzxu0DLEKr_DNBh1kj/view
